id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities_wifi_internet,amenities_tv,amenities_air_conditioning,amenities_heating,amenities_kitchen
5246,loft,shared_room,2,1.0,1.0,1.0,pull_out_sofa,1,0,0,1,1
5247,apartment,entire_home_apt,4,2.0,2.0,2.0,real_bed,1,1,1,1,1
5248,apartment,entire_home_apt,3,1.0,1.0,2.0,real_bed,1,1,1,1,1
5249,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5250,apartment,entire_home_apt,4,1.0,1.0,3.0,real_bed,1,1,1,1,1
5251,apartment,entire_home_apt,4,1.0,1.0,1.0,real_bed,1,1,1,1,1
5252,apartment,entire_home_apt,5,1.0,2.0,2.0,real_bed,1,1,1,1,1
5253,apartment,entire_home_apt,6,1.5,2.0,3.0,real_bed,1,1,1,1,1
5254,apartment,entire_home_apt,6,1.0,2.0,4.0,real_bed,1,1,1,1,1
5255,apartment,entire_home_apt,6,1.0,2.0,4.0,real_bed,1,1,1,1,1
5256,apartment,entire_home_apt,5,1.0,2.0,2.0,real_bed,1,1,1,1,1
5257,apartment,entire_home_apt,5,2.0,2.0,2.0,real_bed,1,1,1,1,1
5258,apartment,private_room,2,1.0,1.0,2.0,real_bed,1,1,0,1,1
5259,apartment,entire_home_apt,2,1.0,0.0,0.0,real_bed,1,1,1,1,1
5260,apartment,private_room,1,1.5,1.0,1.0,real_bed,1,0,1,1,1
5261,apartment,entire_home_apt,6,1.0,2.0,4.0,real_bed,1,1,0,1,1
5262,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5263,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5264,apartment,private_room,2,1.5,1.0,1.0,real_bed,1,0,1,1,1
5265,apartment,entire_home_apt,6,1.0,2.0,4.0,real_bed,1,1,1,1,1
5266,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5267,apartment,entire_home_apt,4,1.0,2.0,2.0,real_bed,1,1,1,1,1
5268,apartment,entire_home_apt,2,1.0,0.0,1.0,real_bed,1,1,1,1,1
5270,apartment,shared_room,1,1.0,1.0,2.0,real_bed,1,0,1,1,1
5271,apartment,entire_home_apt,6,2.0,2.0,2.0,real_bed,1,1,1,1,1
5272,apartment,entire_home_apt,5,1.0,2.0,3.0,real_bed,1,1,0,1,1
5273,apartment,private_room,1,1.0,1.0,1.0,real_bed,1,1,0,0,1
5274,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5275,apartment,private_room,1,1.0,1.0,1.0,real_bed,1,1,1,1,0
5276,apartment,private_room,2,1.0,1.0,0.0,real_bed,1,1,0,1,1
5277,apartment,entire_home_apt,6,3.0,3.0,4.0,real_bed,1,1,1,1,1
5278,house,private_room,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5279,apartment,entire_home_apt,3,1.0,1.0,3.0,real_bed,1,1,1,1,1
5280,apartment,entire_home_apt,3,1.0,1.0,2.0,real_bed,1,1,1,1,1
5281,apartment,private_room,1,1.0,1.0,1.0,real_bed,1,0,0,1,0
5282,apartment,entire_home_apt,6,1.0,2.0,5.0,real_bed,1,1,1,1,1
5283,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,1,1,1
5284,apartment,entire_home_apt,8,2.0,2.0,5.0,real_bed,1,1,1,1,1
5285,apartment,entire_home_apt,7,2.0,3.0,4.0,real_bed,1,1,1,1,1
5286,apartment,entire_home_apt,6,2.0,3.0,5.0,real_bed,1,1,1,1,1
5287,apartment,entire_home_apt,6,1.5,3.0,4.0,real_bed,1,1,1,1,1
5288,apartment,private_room,2,2.0,1.0,2.0,real_bed,1,0,0,1,1
5289,apartment,entire_home_apt,4,1.0,2.0,2.0,real_bed,1,1,0,1,1
5290,apartment,entire_home_apt,2,1.0,1.0,2.0,real_bed,1,1,1,0,1
5291,apartment,entire_home_apt,2,1.5,1.0,2.0,real_bed,1,1,1,1,1
5292,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,0,1,0
5293,house,entire_home_apt,6,2.0,2.0,2.0,real_bed,1,1,1,1,1
5294,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,1,1,1,1
5295,apartment,entire_home_apt,6,1.5,2.0,2.0,real_bed,1,1,1,1,1
5296,apartment,entire_home_apt,2,1.0,0.0,1.0,real_bed,1,0,1,1,1
5297,apartment,entire_home_apt,4,1.0,2.0,3.0,real_bed,1,1,1,1,1
5298,apartment,entire_home_apt,6,2.0,3.0,3.0,real_bed,1,1,1,1,1
5299,apartment,private_room,2,1.5,1.0,2.0,real_bed,1,1,1,1,1
5300,serviced_apartment,entire_home_apt,6,2.5,2.0,5.0,real_bed,1,1,1,1,1
5301,apartment,private_room,1,1.0,1.0,1.0,real_bed,1,0,0,1,1
5302,apartment,private_room,2,2.0,1.0,1.0,real_bed,1,1,1,1,1
5303,serviced_apartment,entire_home_apt,5,1.0,2.0,2.0,real_bed,1,1,1,1,1
5304,apartment,entire_home_apt,7,2.0,4.0,5.0,real_bed,1,1,1,1,1
5305,apartment,entire_home_apt,5,1.0,2.0,4.0,real_bed,1,1,1,1,1
5306,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5307,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5308,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5309,apartment,entire_home_apt,6,3.0,3.0,5.0,real_bed,1,1,1,1,1
5310,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5311,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5312,apartment,entire_home_apt,6,1.5,2.0,2.0,real_bed,1,1,1,1,1
